"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"RT @khalidsalmani1: डॉलर के मुकाबले दिसंबर तक 70 के स्तर पर पहुंच जाएगा रुपया https://t.co/lwfpt9IWYD"	FALSE	0	NA	2016-11-27 12:54:01	FALSE	NA	"802858014113808385"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"wilson_b"	6	TRUE	FALSE	NA	NA
"RT @_anujsinghal: Since August 2013: Rupee is flat, Brazilian Real down 44%, Peso down 55%, Ringgit down 34%. Perspective vs noise!! https:…"	FALSE	0	NA	2016-11-27 12:53:52	FALSE	NA	"802857974221963264"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"manishbadwal"	332	TRUE	FALSE	NA	NA
"RT @dna: Irregular by @MANJULtoons | On #DeMonetisation and the #Rupee https://t.co/e6yIRXM17I"	FALSE	0	NA	2016-11-27 12:53:51	FALSE	NA	"802857970820214785"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"meetdspartan"	21	TRUE	FALSE	NA	NA
"New post: RBI seen intervening to support rupee: Traders https://t.co/3xS3j71Dkm"	FALSE	0	NA	2016-11-27 12:53:43	FALSE	NA	"802857939212111873"	NA	"<a href=\"http://www.optionstip.com/blog\" rel=\"nofollow\">optionstipblog</a>"	"OptionsTip"	0	FALSE	FALSE	NA	NA
"New post: Rupee gains 30 paise to 68.43 in late morning trade https://t.co/lntWFbMr14"	FALSE	0	NA	2016-11-27 12:53:37	FALSE	NA	"802857915111477249"	NA	"<a href=\"http://www.optionstip.com/blog\" rel=\"nofollow\">optionstipblog</a>"	"OptionsTip"	0	FALSE	FALSE	NA	NA
"New post: Geometric sees marginal impact of rupee depreciaiton on IT cos https://t.co/5Dab2YQpYu"	FALSE	0	NA	2016-11-27 12:53:33	FALSE	NA	"802857897868795904"	NA	"<a href=\"http://www.optionstip.com/blog\" rel=\"nofollow\">optionstipblog</a>"	"OptionsTip"	0	FALSE	FALSE	NA	NA
"RT @dna: Irregular by @MANJULtoons | On #DeMonetisation and the #Rupee https://t.co/e6yIRXM17I"	FALSE	0	NA	2016-11-27 12:53:32	FALSE	NA	"802857893586489344"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"MundeS_Horti"	21	TRUE	FALSE	NA	NA
"New post: Rupee closes up 27 paise against US dollar https://t.co/K7KbmdEbVL"	FALSE	0	NA	2016-11-27 12:53:30	FALSE	NA	"802857883851440129"	NA	"<a href=\"http://www.optionstip.com/blog\" rel=\"nofollow\">optionstipblog</a>"	"OptionsTip"	0	FALSE	FALSE	NA	NA
"New post: Four charts that show why rupee fall may not last long https://t.co/KthkeKJGNT"	FALSE	0	NA	2016-11-27 12:53:25	FALSE	NA	"802857861588090881"	NA	"<a href=\"http://www.optionstip.com/blog\" rel=\"nofollow\">optionstipblog</a>"	"OptionsTip"	0	FALSE	FALSE	NA	NA
"New post: Rupee to breach 70-mark by December, touch 72.50 by 2017-end: Deutsche Bank report https://t.co/BKL8TX4WQu"	FALSE	0	NA	2016-11-27 12:53:08	FALSE	NA	"802857790792409088"	NA	"<a href=\"http://www.optionstip.com/blog\" rel=\"nofollow\">optionstipblog</a>"	"OptionsTip"	0	FALSE	FALSE	NA	NA
"RT @VishalDadlani: Our visionary PM should lead by example &amp; declare the source of each rupee being spent on rallies. Also, if new cash, ho…"	FALSE	0	NA	2016-11-27 12:53:01	FALSE	NA	"802857762686238720"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"gauwrav"	152	TRUE	FALSE	NA	NA
"RT @seemach_11: Today Rupee is the world's leading currency with 70 deaths.
#DeMonetisation 
#BharathBandh https://t.co/qhIV48TY1Y"	FALSE	0	NA	2016-11-27 12:53:00	FALSE	NA	"802857756839608321"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"inversethinker"	21	TRUE	FALSE	NA	NA
"RT @dna: Irregular by @MANJULtoons | On #DeMonetisation and the #Rupee https://t.co/e6yIRXM17I"	FALSE	0	NA	2016-11-27 12:52:59	FALSE	NA	"802857754410913792"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"MANJULtoons"	21	TRUE	FALSE	NA	NA
"RT @narendramodi: In sync with what most people asked, today's #MannKiBaat was centred around the decision on 500 &amp; 1000 Rupee notes. https…"	FALSE	0	NA	2016-11-27 12:52:38	FALSE	NA	"802857664556376064"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"BJP4TamilNadu"	1332	TRUE	FALSE	NA	NA
"Mystery of Mess
https://t.co/CuliFKMIy4"	FALSE	0	NA	2016-11-27 12:52:35	FALSE	NA	"802857654678716416"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"RaisParay"	0	FALSE	FALSE	NA	NA
"RT @seemach_11: Today Rupee is the world's leading currency with 70 deaths.
#DeMonetisation 
#BharathBandh https://t.co/qhIV48TY1Y"	FALSE	0	NA	2016-11-27 12:52:16	FALSE	NA	"802857575200878593"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"darkdestinynme"	21	TRUE	FALSE	NA	NA
"RT @_anujsinghal: Since August 2013: Rupee is flat, Brazilian Real down 44%, Peso down 55%, Ringgit down 34%. Perspective vs noise!! https:…"	FALSE	0	NA	2016-11-27 12:52:13	FALSE	NA	"802857558713110528"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"ArmchairPseph"	332	TRUE	FALSE	NA	NA
"RT @narendramodi: Pictures from the Agra rally. Talked about how 500 &amp; 1000 Rupee notes ceasing to be legal tender will sharpen our fight a…"	FALSE	0	NA	2016-11-27 12:52:04	FALSE	NA	"802857520955932672"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"BhavikpatelBjp"	3917	TRUE	FALSE	NA	NA
"Rupee Sinks to Record as Foreign Funds Dump Assets https://t.co/eQybORe6Rh"	FALSE	0	NA	2016-11-27 12:52:02	FALSE	NA	"802857515365138437"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"parecerleer"	0	FALSE	FALSE	NA	NA
"RT @narendramodi: In sync with what most people asked, today's #MannKiBaat was centred around the decision on 500 &amp; 1000 Rupee notes. https…"	FALSE	0	NA	2016-11-27 12:52:01	FALSE	NA	"802857512445747200"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"rekhavlekshman"	1332	TRUE	FALSE	NA	NA
"RT @_anujsinghal: Since August 2013: Rupee is flat, Brazilian Real down 44%, Peso down 55%, Ringgit down 34%. Perspective vs noise!! https:…"	FALSE	0	NA	2016-11-27 12:51:56	FALSE	NA	"802857488076812288"	NA	"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>"	"RajeshaM75"	332	TRUE	FALSE	NA	NA
"RT @_anujsinghal: Since August 2013: Rupee is flat, Brazilian Real down 44%, Peso down 55%, Ringgit down 34%. Perspective vs noise!! https:…"	FALSE	0	NA	2016-11-27 12:51:44	FALSE	NA	"802857437887741952"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"niranjanpai"	332	TRUE	FALSE	NA	NA
"RT @IndiaExplained: If Modi really wanted to leave his mark on this demonetisation exercise, he should have introduced a 2002 rupee note"	FALSE	0	NA	2016-11-27 12:51:28	FALSE	NA	"802857372494528512"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"archie_214"	134	TRUE	FALSE	NA	NA
"RT @jtepper2: 50% of Indians have no bank account and 25% no ID card. So demonetizing screws rural poor. Heartless and idiotic https://t.co…"	FALSE	0	NA	2016-11-27 12:51:28	FALSE	NA	"802857371672444932"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"ajmiles4"	70	TRUE	FALSE	NA	NA
"Rupee to breach 70-mark by Dec, touch 72.50 by 2017-end: Deutsche Bank report https://t.co/s60RsHAHb3 by #priyankac19 via @c0nvey"	FALSE	0	NA	2016-11-27 12:51:21	FALSE	NA	"802857342937288704"	NA	"<a href=\"http://linkis.com\" rel=\"nofollow\">Put your button on any page! </a>"	"its_achyut"	0	FALSE	FALSE	NA	NA
"RT @VishalDadlani: Our visionary PM should lead by example &amp; declare the source of each rupee being spent on rallies. Also, if new cash, ho…"	FALSE	0	NA	2016-11-27 12:51:15	FALSE	NA	"802857316286693376"	NA	"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>"	"sharmaanildelhi"	152	TRUE	FALSE	NA	NA
"RT @rahulreborn123: 1/2 #DearZindagi already recovered its investment through satellite and music rights. Every single rupee is a profit fo…"	FALSE	0	NA	2016-11-27 12:51:12	FALSE	NA	"802857305834299392"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"SRKsCombat1"	7	TRUE	FALSE	NA	NA
"RT @_anujsinghal: Since August 2013: Rupee is flat, Brazilian Real down 44%, Peso down 55%, Ringgit down 34%. Perspective vs noise!! https:…"	FALSE	0	NA	2016-11-27 12:51:02	FALSE	NA	"802857263455092736"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"msnt222"	332	TRUE	FALSE	NA	NA
"RT @narendramodi: In sync with what most people asked, today's #MannKiBaat was centred around the decision on 500 &amp; 1000 Rupee notes. https…"	FALSE	0	NA	2016-11-27 12:50:58	FALSE	NA	"802857246065561600"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"maulinpatel2000"	1332	TRUE	FALSE	NA	NA
"RT @_anujsinghal: Since August 2013: Rupee is flat, Brazilian Real down 44%, Peso down 55%, Ringgit down 34%. Perspective vs noise!! https:…"	FALSE	0	NA	2016-11-27 12:50:55	FALSE	NA	"802857232597663744"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"tbanerjeein"	332	TRUE	FALSE	NA	NA
"New post: Rupee to breach 70-mark by Dec, touch 72.50 by 2017-end: Report https://t.co/4qbI67RrvT"	FALSE	0	NA	2016-11-27 12:50:47	FALSE	NA	"802857198359449600"	NA	"<a href=\"http://www.optionstip.com/blog\" rel=\"nofollow\">optionstipblog</a>"	"OptionsTip"	0	FALSE	FALSE	NA	NA
"RT @narendramodi: In sync with what most people asked, today's #MannKiBaat was centred around the decision on 500 &amp; 1000 Rupee notes. https…"	FALSE	0	NA	2016-11-27 12:50:44	FALSE	NA	"802857188456660992"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"AmitYad63432805"	1332	TRUE	FALSE	NA	NA
"New post: Rupee to breach 70-mark by Dec, touch 72.50 by 2017-end: Report https://t.co/MAkFs68c8t"	FALSE	0	NA	2016-11-27 12:50:33	FALSE	NA	"802857140037754880"	NA	"<a href=\"http://www.optionstip.com/blog\" rel=\"nofollow\">optionstipblog</a>"	"OptionsTip"	0	FALSE	FALSE	NA	NA
"And @TheHindu story about no new security features due to lack of time is 404ing. 

https://t.co/VORbyUW2UQ"	FALSE	0	"kingslyj"	2016-11-27 12:50:22	FALSE	"802855874687537152"	"802857096849014784"	"18548778"	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"kingslyj"	0	FALSE	FALSE	NA	NA
"RT @tinucherian: Rupee to breach 70-mark by Dec, touch 72.50 by 2017-end:Report https://t.co/etmupBKlwR via @IndiaToday"	FALSE	0	NA	2016-11-27 12:50:22	FALSE	NA	"802857093577449472"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"chirag24576"	13	TRUE	FALSE	NA	NA
"RT @tinucherian: Rupee to breach 70-mark by Dec, touch 72.50 by 2017-end:Report https://t.co/etmupBKlwR via @IndiaToday"	FALSE	0	NA	2016-11-27 12:50:14	FALSE	NA	"802857062929559552"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"MJamal62"	13	TRUE	FALSE	NA	NA
"RT @narendramodi: In sync with what most people asked, today's #MannKiBaat was centred around the decision on 500 &amp; 1000 Rupee notes. https…"	FALSE	0	NA	2016-11-27 12:50:05	FALSE	NA	"802857025671725057"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"miravnaik20"	1332	TRUE	FALSE	NA	NA
"RT @narendramodi: In sync with what most people asked, today's #MannKiBaat was centred around the decision on 500 &amp; 1000 Rupee notes. https…"	FALSE	0	NA	2016-11-27 12:49:42	FALSE	NA	"802856927013244928"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"sameerK04689533"	1332	TRUE	FALSE	NA	NA
"RT @meerasanyal: The mystery of the missing 500 notes explained - if true the nation has a long wait... https://t.co/8DO9lCUC0j"	FALSE	0	NA	2016-11-27 12:49:33	FALSE	NA	"802856890405240833"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"vishal_kathad"	173	TRUE	FALSE	NA	NA
