"text"	"favorited"	"favoriteCount"	"replyToSN"	"created"	"truncated"	"replyToSID"	"id"	"replyToUID"	"statusSource"	"screenName"	"retweetCount"	"isRetweet"	"retweeted"	"longitude"	"latitude"
"India’s Rupee Ban Backfires – Barron’s – Indian Rupee https://t.co/UjGu4VyYao"	FALSE	0	NA	2016-11-26 15:03:33	FALSE	NA	"802528225163444224"	NA	"<a href=\"http://publicize.wp.com/\" rel=\"nofollow\">WordPress.com</a>"	"bankinformer"	0	FALSE	FALSE	NA	NA
"RT @ShirishKunder: Bold &amp; radical move! Rupee hits all-time low of 68.86 against US dollar to stop people from converting black money to do…"	FALSE	0	NA	2016-11-26 15:02:09	FALSE	NA	"802527873437306886"	NA	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"AAPtivistAtul"	999	TRUE	FALSE	NA	NA
"Need equality to all languages in India. #stophindiimposition https://t.co/YOc0vlgvo1"	FALSE	0	NA	2016-11-26 15:01:54	FALSE	NA	"802527808442482688"	NA	"<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>"	"tchandras"	0	FALSE	FALSE	NA	NA
"RT @kiran_patniak: लुढ़कता रुपया!! बेहद कमजोर सरकार!! चौपट अर्थव्यवस्था!! 
https://t.co/1v4d5zsv6P"	FALSE	0	NA	2016-11-26 15:00:47	FALSE	NA	"802527526077640704"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"nilofar31"	10	TRUE	FALSE	NA	NA
"RT @rahul1021986: Journey of the INDIAN RUPEE. Please see this @SrBachchan Sir. If possible, share this, then 58 + Million Followers can se…"	FALSE	0	NA	2016-11-26 15:00:43	FALSE	NA	"802527509761978368"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"GhanShy74046595"	2	TRUE	FALSE	NA	NA
"RT @Anandraaj04: #DemonetizationImpact 
One of the world’s fastest-growing economies is now bracing for an inevitable slowdown 
https://t.c…"	FALSE	0	NA	2016-11-26 15:00:42	FALSE	NA	"802527506091765760"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"dheeviran"	5	TRUE	FALSE	NA	NA
"RT @malviyamit: #AAP candidate Vinod Kumar alleges extortion of 1 crore rupee from Kejriwal confidant Sanjay Singh.. His ticket was cancell…"	FALSE	0	NA	2016-11-26 15:00:39	FALSE	NA	"802527493282353155"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"vinay056736"	289	TRUE	FALSE	NA	NA
"@krs83 @Ram_Guha No one lost one honest rupee due to demonetisation. So wonder why MMS calls it loot/plunder."	FALSE	0	"krs83"	2016-11-26 15:00:24	FALSE	"802050639509340160"	"802527431206649857"	"108573487"	"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>"	"quantum4907"	0	FALSE	FALSE	NA	NA
"RT @Satyanewshi: #DemonetizationBenefits Why did Indira Devalue Rupee in 1966  any answers ?https://t.co/QLa6NcwewF"	FALSE	0	NA	2016-11-26 15:00:14	FALSE	NA	"802527387871113216"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"premprasoon21"	12	TRUE	FALSE	NA	NA
"RT @_anujsinghal: Since August 2013: Rupee is flat, Brazilian Real down 44%, Peso down 55%, Ringgit down 34%. Perspective vs noise!! https:…"	FALSE	0	NA	2016-11-26 15:00:12	FALSE	NA	"802527379792994304"	NA	"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>"	"vjshastri10"	303	TRUE	FALSE	NA	NA
